Dose MNZ (ug/ml)	Condition	Timepoint (hours)	MNZ (ug/mL)	MNZ intracellular (ug/mL)	Acetamide intracellular (ug/mL)	Bacterial Counts (10^6)
100	MNZ alone	0	99.1	0.0	0.0	0.00
100	MNZ alone	0	87.8	0.0	0.0	0.00
100	MNZ + GV	0	123.2	0.0	0.0	2.17
100	MNZ + GV	0	82.0	0.0	0.0	2.18
100	MNZ + GV	0	133.2	0.0	0.0	2.15
100	MNZ + LI	0	101.0	0.0	0.0	2.07
100	MNZ + LI	0	101.3	0.0	0.0	2.03
100	MNZ + LI	0	85.3	0.0	0.0	2.10
100	MNZ alone	4	93.6	0.0	0.0	0.00
100	MNZ alone	4	87.5	0.0	0.0	0.00
100	MNZ + GV	4	75.4	11.2	9.6	2.17
100	MNZ + GV	4	57.7	10.7	16.4	1.96
100	MNZ + GV	4	93.3	20.5	11.7	2.20
100	MNZ + LI	4	90.2	8.3	0.0	2.14
100	MNZ + LI	4	89.4	8.8	0.0	2.05
100	MNZ + LI	4	72.6	8.2	0.0	1.96
100	MNZ alone	6	94.4	0.0	0.0	0.00
100	MNZ alone	6	84.6	0.0	0.0	0.00
100	MNZ + GV	6	66.6	12.3	12.7	2.07
100	MNZ + GV	6	45.0	12.8	18.7	2.11
100	MNZ + GV	6	63.3	26.9	14.5	1.97
100	MNZ + LI	6	80.9	12.3	0.0	2.19
100	MNZ + LI	6	85.8	14.2	0.0	2.16
100	MNZ + LI	6	75.6	14.6	0.0	1.99
100	MNZ alone	24	92.5	0.0	0.0	0.00
100	MNZ alone	24	83.0	0.0	0.0	0.00
100	MNZ + GV	24	38.7	15.0	22.3	3.62
100	MNZ + GV	24	24.4	15.1	30.4	4.12
100	MNZ + GV	24	39.9	34.8	28.1	3.97
100	MNZ + LI	24	58.9	45.5	0.0	3.11
100	MNZ + LI	24	72.5	48.3	0.0	3.53
100	MNZ + LI	24	56.6	63.5	0.0	3.24
100	MNZ alone	48	93.3	0.0	0.0	0.00
100	MNZ alone	48	83.1	0.0	0.0	0.00
100	MNZ + GV	48	13.0	26.1	34.0	3.96
100	MNZ + GV	48	8.8	24.0	36.3	3.93
100	MNZ + GV	48	11.7	41.0	32.1	4.35
100	MNZ + LI	48	40.3	90.9	0.0	3.37
100	MNZ + LI	48	52.8	106.1	0.0	3.83
100	MNZ + LI	48	38.2	98.2	0.0	3.58
500	MNZ alone	0	501.5	0.0	0.0	0.00
500	MNZ alone	0	506.6	0.0	0.0	0.00
500	MNZ + GV	0	506.1	0.0	0.0	2.05
500	MNZ + GV	0	482.0	0.0	0.0	2.04
500	MNZ + GV	0	501.6	0.0	0.0	2.10
500	MNZ + LI	0	530.8	0.0	0.0	2.00
500	MNZ + LI	0	539.9	0.0	0.0	2.01
500	MNZ + LI	0	495.1	0.0	0.0	2.08
500	MNZ alone	4	498.2	0.0	0.0	0.00
500	MNZ alone	4	501.0	0.0	0.0	0.00
500	MNZ + GV	4	433.6	24.5	32.4	2.01
500	MNZ + GV	4	423.3	26.3	29.5	2.07
500	MNZ + GV	4	406.4	22.1	33.0	2.00
500	MNZ + LI	4	486.7	28.4	0.0	2.02
500	MNZ + LI	4	468.4	25.7	0.0	2.06
500	MNZ + LI	4	454.6	17.0	0.0	2.10
500	MNZ alone	6	497.8	0.0	0.0	0.00
500	MNZ alone	6	498.6	0.0	0.0	0.00
500	MNZ + GV	6	395.0	29.1	43.6	1.92
500	MNZ + GV	6	389.1	34.3	34.2	1.93
500	MNZ + GV	6	386.0	39.1	38.3	1.94
500	MNZ + LI	6	468.0	29.5	0.0	2.19
500	MNZ + LI	6	466.6	30.3	0.0	2.16
500	MNZ + LI	6	390.6	27.1	0.0	2.14
500	MNZ alone	24	490.0	0.0	0.0	0.00
500	MNZ alone	24	490.7	0.0	0.0	0.00
500	MNZ + GV	24	264.3	108.2	23.1	1.01
500	MNZ + GV	24	296.3	105.9	28.1	1.13
500	MNZ + GV	24	279.8	112.1	33.3	0.95
500	MNZ + LI	24	295.8	102.5	0.0	3.14
500	MNZ + LI	24	280.7	92.2	0.0	3.17
500	MNZ + LI	24	353.9	97.3	0.0	3.00
500	MNZ alone	48	479.7	0.0	0.0	0.00
500	MNZ alone	48	483.6	0.0	0.0	0.00
500	MNZ + GV	48	187.4	223.9	4.8	0.33
500	MNZ + GV	48	167.6	207.8	15.1	0.49
500	MNZ + GV	48	183.2	190.0	19.0	0.36
500	MNZ + LI	48	205.2	183.7	0.0	3.69
500	MNZ + LI	48	240.1	171.2	0.0	3.24
500	MNZ + LI	48	175.3	188.8	0.0	3.47
